family,method,sample_size,mean_convergence,min_convergence,max_convergence,mean_time,min_time,max_time
beta,nlminb,100,1,1,1,0.11180837874412537,0.11180837874412537,0.11180837874412537
beta,nlminb,250,1,1,1,0.08690033807754517,0.08690033807754517,0.08690033807754517
beta,nlminb,500,1,1,1,0.08758599071502686,0.08758599071502686,0.08758599071502686
beta,nlminb,1000,1,1,1,0.09347439985275269,0.09347439985275269,0.09347439985275269
beta,nlminb,5000,1,1,1,0.19922846298217772,0.19922846298217772,0.19922846298217772
beta,nr,100,1,1,1,0.11264410514831542,0.11264410514831542,0.11264410514831542
beta,nr,250,1,1,1,0.09059387316703796,0.09059387316703796,0.09059387316703796
beta,nr,500,1,1,1,0.09456251106262208,0.09456251106262208,0.09456251106262208
beta,nr,1000,1,1,1,0.10134068250656128,0.10134068250656128,0.10134068250656128
beta,nr,5000,1,1,1,0.20319828310012816,0.20319828310012816,0.20319828310012816
beta,optim,100,1,1,1,0.08238369054794312,0.08238369054794312,0.08238369054794312
beta,optim,250,1,1,1,0.08372985897064208,0.08372985897064208,0.08372985897064208
beta,optim,500,1,1,1,0.08516758532524109,0.08516758532524109,0.08516758532524109
beta,optim,1000,1,1,1,0.09015245265960693,0.09015245265960693,0.09015245265960693
beta,optim,5000,1,1,1,0.12133605809211731,0.12133605809211731,0.12133605809211731
beta,tmb,100,1,1,1,0.1338299455165863,0.1338299455165863,0.1338299455165863
beta,tmb,250,1,1,1,0.10772993488311768,0.10772993488311768,0.10772993488311768
beta,tmb,500,1,1,1,0.11292280578613281,0.11292280578613281,0.11292280578613281
beta,tmb,1000,1,1,1,0.11516792602539062,0.11516792602539062,0.11516792602539062
beta,tmb,5000,1,1,1,0.23262951965332032,0.23262951965332032,0.23262951965332032
bkw,nlminb,100,0.3916,0.3916,0.3916,0.1282880777479801,0.1282880777479801,0.1282880777479801
bkw,nlminb,250,0.4932,0.4932,0.4932,0.11078861498387964,0.11078861498387964,0.11078861498387964
bkw,nlminb,500,0.5318,0.5318,0.5318,0.13134054054484057,0.13134054054484057,0.13134054054484057
bkw,nlminb,1000,0.5428,0.5428,0.5428,0.15630055888224456,0.15630055888224456,0.15630055888224456
bkw,nlminb,5000,0.5454,0.5454,0.5454,0.3394473306329249,0.3394473306329249,0.3394473306329249
bkw,nr,100,0.5046,0.5046,0.5046,0.13683598428031446,0.13683598428031446,0.13683598428031446
bkw,nr,250,0.5914,0.5914,0.5914,0.1368998556391871,0.1368998556391871,0.1368998556391871
bkw,nr,500,0.9042,0.9042,0.9042,0.16310035045946944,0.16310035045946944,0.16310035045946944
bkw,nr,1000,0.8218,0.8218,0.8218,0.20879715926225356,0.20879715926225356,0.20879715926225356
bkw,nr,5000,0.6408,0.6408,0.6408,0.3844986156875572,0.3844986156875572,0.3844986156875572
bkw,optim,100,0.4654,0.4654,0.4654,0.13202454483350254,0.13202454483350254,0.13202454483350254
bkw,optim,250,0.4956,0.4956,0.4956,0.10211054955498647,0.10211054955498647,0.10211054955498647
bkw,optim,500,0.5628,0.5628,0.5628,0.11812870292351783,0.11812870292351783,0.11812870292351783
bkw,optim,1000,0.5478,0.5478,0.5478,0.13324512570128036,0.13324512570128036,0.13324512570128036
bkw,optim,5000,0.488,0.488,0.488,0.3032349390084626,0.3032349390084626,0.3032349390084626
bkw,tmb,100,0.9424,0.9424,0.9424,0.14405723733286704,0.14405723733286704,0.14405723733286704
bkw,tmb,250,0.971,0.971,0.971,0.13457175425717072,0.13457175425717072,0.13457175425717072
bkw,tmb,500,0.9826,0.9826,0.9826,0.1573911926883703,0.1573911926883703,0.1573911926883703
bkw,tmb,1000,0.9894,0.9894,0.9894,0.20011894028669225,0.20011894028669225,0.20011894028669225
bkw,tmb,5000,0.9922,0.9922,0.9922,0.46665022489020624,0.46665022489020624,0.46665022489020624
ekw,nlminb,100,0.924,0.924,0.924,0.11663996966886314,0.11663996966886314,0.11663996966886314
ekw,nlminb,250,0.996,0.996,0.996,0.08972773437040397,0.08972773437040397,0.08972773437040397
ekw,nlminb,500,1,1,1,0.09760755848884582,0.09760755848884582,0.09760755848884582
ekw,nlminb,1000,1,1,1,0.10599285416603088,0.10599285416603088,0.10599285416603088
ekw,nlminb,5000,1,1,1,0.2178208905696869,0.2178208905696869,0.2178208905696869
ekw,nr,100,0.815,0.815,0.815,0.1360300555550979,0.1360300555550979,0.1360300555550979
ekw,nr,250,0.985,0.985,0.985,0.10708035740150412,0.10708035740150412,0.10708035740150412
ekw,nr,500,0.9868,0.9868,0.9868,0.12698488294425936,0.12698488294425936,0.12698488294425936
ekw,nr,1000,0.9986,0.9986,0.9986,0.15321123602393633,0.15321123602393633,0.15321123602393633
ekw,nr,5000,1,1,1,0.29282551617622377,0.29282551617622377,0.29282551617622377
ekw,optim,100,0.946,0.946,0.946,0.09610821580786029,0.09610821580786029,0.09610821580786029
ekw,optim,250,0.999,0.999,0.999,0.09613039424350192,0.09613039424350192,0.09613039424350192
ekw,optim,500,1,1,1,0.09240970902442933,0.09240970902442933,0.09240970902442933
ekw,optim,1000,1,1,1,0.10812021288871765,0.10812021288871765,0.10812021288871765
ekw,optim,5000,1,1,1,0.16554059710502625,0.16554059710502625,0.16554059710502625
ekw,tmb,100,0.9808,0.9808,0.9808,0.1407754874832284,0.1407754874832284,0.1407754874832284
ekw,tmb,250,0.9966,0.9966,0.9966,0.11885900194090389,0.11885900194090389,0.11885900194090389
ekw,tmb,500,1,1,1,0.13408097610473632,0.13408097610473632,0.13408097610473632
ekw,tmb,1000,1,1,1,0.1513411226272583,0.1513411226272583,0.1513411226272583
ekw,tmb,5000,1,1,1,0.3450358676433563,0.3450358676433563,0.3450358676433563
gkw,nlminb,100,0.3316,0.3316,0.3316,0.12468616608687563,0.12468616608687563,0.12468616608687563
gkw,nlminb,250,0.3738,0.3738,0.3738,0.10386220933027354,0.10386220933027354,0.10386220933027354
gkw,nlminb,500,0.3924,0.3924,0.3924,0.12195815782420619,0.12195815782420619,0.12195815782420619
gkw,nlminb,1000,0.4066,0.4066,0.4066,0.14833927189723295,0.14833927189723295,0.14833927189723295
gkw,nlminb,5000,0.4138,0.4138,0.4138,0.381119143046752,0.381119143046752,0.381119143046752
gkw,nr,100,0.4498,0.4498,0.4498,0.1638777728820706,0.1638777728820706,0.1638777728820706
gkw,nr,250,0.768,0.768,0.768,0.17959345237662394,0.17959345237662394,0.17959345237662394
gkw,nr,500,0.9158,0.9158,0.9158,0.14525097117827016,0.14525097117827016,0.14525097117827016
gkw,nr,1000,0.887,0.887,0.887,0.164231485390475,0.164231485390475,0.164231485390475
gkw,nr,5000,0.6172,0.6172,0.6172,0.7113226931819805,0.7113226931819805,0.7113226931819805
gkw,optim,100,0.7,0.7,0.7,0.13298560735157558,0.13298560735157558,0.13298560735157558
gkw,optim,250,0.7048,0.7048,0.7048,0.11900486760729423,0.11900486760729423,0.11900486760729423
gkw,optim,500,0.7436,0.7436,0.7436,0.13743098606788837,0.13743098606788837,0.13743098606788837
