family,method,sample_size,mean_convergence,min_convergence,max_convergence,mean_time,min_time,max_time
gkw,optim,1000,0.6,0.6,0.6,0.16547439869244893,0.16547439869244893,0.16547439869244893
gkw,optim,5000,0.5498,0.5498,0.5498,0.3936426077551649,0.3936426077551649,0.3936426077551649
gkw,tmb,100,0.9858,0.9858,0.9858,0.14651409567285198,0.14651409567285198,0.14651409567285198
gkw,tmb,250,0.9512,0.9512,0.9512,0.1461836075060903,0.1461836075060903,0.1461836075060903
gkw,tmb,500,0.9214,0.9214,0.9214,0.1836244097909002,0.1836244097909002,0.1836244097909002
gkw,tmb,1000,0.906,0.906,0.906,0.2438449738567765,0.2438449738567765,0.2438449738567765
gkw,tmb,5000,0.9438,0.9438,0.9438,0.5764012326626334,0.5764012326626334,0.5764012326626334
kkw,nlminb,100,0.2118,0.2118,0.2118,0.11778346022082681,0.11778346022082681,0.11778346022082681
kkw,nlminb,250,0.2646,0.2646,0.2646,0.09099011392369923,0.09099011392369923,0.09099011392369923
kkw,nlminb,500,0.3274,0.3274,0.3274,0.1034146674755658,0.1034146674755658,0.1034146674755658
kkw,nlminb,1000,0.358,0.358,0.358,0.11619516484564243,0.11619516484564243,0.11619516484564243
kkw,nlminb,5000,0.446,0.446,0.446,0.2635007403891183,0.2635007403891183,0.2635007403891183
kkw,nr,100,0.6248,0.6248,0.6248,0.12741013189894596,0.12741013189894596,0.12741013189894596
kkw,nr,250,0.8146,0.8146,0.8146,0.1468899635199742,0.1468899635199742,0.1468899635199742
kkw,nr,500,0.7294,0.7294,0.7294,0.1825642728923215,0.1825642728923215,0.1825642728923215
kkw,nr,1000,0.9882,0.9882,0.9882,0.1264652191108838,0.1264652191108838,0.1264652191108838
kkw,nr,5000,0.9584,0.9584,0.9584,0.3001613247772688,0.3001613247772688,0.3001613247772688
kkw,optim,100,0.662,0.662,0.662,0.10263287250368977,0.10263287250368977,0.10263287250368977
kkw,optim,250,0.648,0.648,0.648,0.10699817346937862,0.10699817346937862,0.10699817346937862
kkw,optim,500,0.6182,0.6182,0.6182,0.12363813487274752,0.12363813487274752,0.12363813487274752
kkw,optim,1000,0.6418,0.6418,0.6418,0.1406983974827677,0.1406983974827677,0.1406983974827677
kkw,optim,5000,0.569,0.569,0.569,0.2502580396320363,0.2502580396320363,0.2502580396320363
kkw,tmb,100,0.949,0.949,0.949,0.14970234829708698,0.14970234829708698,0.14970234829708698
kkw,tmb,250,0.9742,0.9742,0.9742,0.13929559082692225,0.13929559082692225,0.13929559082692225
kkw,tmb,500,0.9818,0.9818,0.9818,0.16625394114993405,0.16625394114993405,0.16625394114993405
kkw,tmb,1000,0.9882,0.9882,0.9882,0.21633794958643093,0.21633794958643093,0.21633794958643093
kkw,tmb,5000,0.9876,0.9876,0.9876,0.4899235228963012,0.4899235228963012,0.4899235228963012
kw,nlminb,100,1,1,1,0.11203859095573425,0.11203859095573425,0.11203859095573425
kw,nlminb,250,1,1,1,0.08718650889396667,0.08718650889396667,0.08718650889396667
kw,nlminb,500,1,1,1,0.08681365861892701,0.08681365861892701,0.08681365861892701
kw,nlminb,1000,1,1,1,0.09367482318878174,0.09367482318878174,0.09367482318878174
kw,nlminb,5000,1,1,1,0.18068938941955567,0.18068938941955567,0.18068938941955567
kw,nr,100,1,1,1,0.11326396288871765,0.11326396288871765,0.11326396288871765
kw,nr,250,1,1,1,0.09162535653114319,0.09162535653114319,0.09162535653114319
kw,nr,500,1,1,1,0.09726577930450439,0.09726577930450439,0.09726577930450439
kw,nr,1000,1,1,1,0.09623269634246827,0.09623269634246827,0.09623269634246827
kw,nr,5000,1,1,1,0.20205191059112548,0.20205191059112548,0.20205191059112548
kw,optim,100,1,1,1,0.08152679195404053,0.08152679195404053,0.08152679195404053
kw,optim,250,1,1,1,0.08006623425483704,0.08006623425483704,0.08006623425483704
kw,optim,500,1,1,1,0.08330860733985901,0.08330860733985901,0.08330860733985901
kw,optim,1000,1,1,1,0.08809676423072815,0.08809676423072815,0.08809676423072815
kw,optim,5000,1,1,1,0.12418150534629822,0.12418150534629822,0.12418150534629822
kw,tmb,100,1,1,1,0.13633152918815614,0.13633152918815614,0.13633152918815614
kw,tmb,250,1,1,1,0.11247196207046509,0.11247196207046509,0.11247196207046509
kw,tmb,500,1,1,1,0.11649626841545105,0.11649626841545105,0.11649626841545105
kw,tmb,1000,1,1,1,0.12466127052307129,0.12466127052307129,0.12466127052307129
kw,tmb,5000,1,1,1,0.27128982319831846,0.27128982319831846,0.27128982319831846
mc,nlminb,100,0.8164,0.8164,0.8164,0.11751484882592103,0.11751484882592103,0.11751484882592103
mc,nlminb,250,0.9404,0.9404,0.9404,0.09691818198565472,0.09691818198565472,0.09691818198565472
mc,nlminb,500,0.9836,0.9836,0.9836,0.09814380372913449,0.09814380372913449,0.09814380372913449
mc,nlminb,1000,0.9974,0.9974,0.9974,0.10365605287377859,0.10365605287377859,0.10365605287377859
mc,nlminb,5000,1,1,1,0.2257720453262329,0.2257720453262329,0.2257720453262329
mc,nr,100,0.7514,0.7514,0.7514,0.12693845391241768,0.12693845391241768,0.12693845391241768
mc,nr,250,0.942,0.942,0.942,0.1068636379424174,0.1068636379424174,0.1068636379424174
mc,nr,500,0.976,0.976,0.976,0.11536745277584576,0.11536745277584576,0.11536745277584576
mc,nr,1000,0.9832,0.9832,0.9832,0.12750523559827937,0.12750523559827937,0.12750523559827937
mc,nr,5000,0.9916,0.9916,0.9916,0.24355389135121433,0.24355389135121433,0.24355389135121433
mc,optim,100,0.9618,0.9618,0.9618,0.09700431246647445,0.09700431246647445,0.09700431246647445
mc,optim,250,0.9804,0.9804,0.9804,0.09091016332843459,0.09091016332843459,0.09091016332843459
mc,optim,500,0.9924,0.9924,0.9924,0.09561887161234894,0.09561887161234894,0.09561887161234894
mc,optim,1000,0.9972,0.9972,0.9972,0.10351268158731716,0.10351268158731716,0.10351268158731716
mc,optim,5000,1,1,1,0.15094072828292845,0.15094072828292845,0.15094072828292845
mc,tmb,100,0.9948,0.9948,0.9948,0.1406682332356771,0.1406682332356771,0.1406682332356771
mc,tmb,250,1,1,1,0.11596985502243042,0.11596985502243042,0.11596985502243042
mc,tmb,500,1,1,1,0.12751584525108337,0.12751584525108337,0.12751584525108337
mc,tmb,1000,1,1,1,0.13799356660842896,0.13799356660842896,0.13799356660842896
mc,tmb,5000,1,1,1,0.30412098817825317,0.30412098817825317,0.30412098817825317
