parameter,family,method,sample_size,mean_bias,mean_rel_bias,mean_bias_z,mean_true_value,min_rel_bias,max_rel_bias
beta,bkw,optim,100,0.2016678572323145,0.06722261907743816,0.0063209329327306805,3,0.06722261907743816,0.06722261907743816
beta,bkw,optim,250,0.10406932897305188,0.03468977632435063,0.003413900389821119,3,0.03468977632435063,0.03468977632435063
beta,bkw,optim,500,0.11918978795181356,0.039729929317271186,0.004556555391462127,3,0.039729929317271186,0.039729929317271186
beta,bkw,optim,1000,5.148573376905219e-4,1.716191125635073e-4,2.4995663415437576e-5,3,1.716191125635073e-4,1.716191125635073e-4
beta,bkw,optim,5000,-0.2789318315550089,-0.09297727718500297,-0.025059128364000757,3,-0.09297727718500297,-0.09297727718500297
beta,bkw,tmb,100,-0.20186130033696736,-0.06728710011232246,-0.03795688046026612,3,-0.06728710011232246,-0.06728710011232246
beta,bkw,tmb,250,-0.286266023351053,-0.09542200778368433,-0.05476121827166277,3,-0.09542200778368433,-0.09542200778368433
beta,bkw,tmb,500,-0.2900328427856458,-0.09667761426188193,-0.0559178359901705,3,-0.09667761426188193,-0.09667761426188193
beta,bkw,tmb,1000,-0.2708180261681439,-0.09027267538938129,-0.05313042547810254,3,-0.09027267538938129,-0.09027267538938129
beta,bkw,tmb,5000,-0.16131273034535143,-0.05377091011511714,-0.03355107305622581,3,-0.05377091011511714,-0.05377091011511714
beta,ekw,nlminb,100,0.7199852045576263,0.23999506818587543,0.41143957059866865,3,0.23999506818587543,0.23999506818587543
beta,ekw,nlminb,250,0.1924267678989926,0.06414225596633087,0.25618063994232354,3,0.06414225596633087,0.06414225596633087
beta,ekw,nlminb,500,0.0866408779243355,0.028880292641445166,0.1775646182796426,3,0.028880292641445166,0.028880292641445166
beta,ekw,nlminb,1000,0.03815493069126319,0.012718310230421062,0.11511284024356615,3,0.012718310230421062,0.012718310230421062
beta,ekw,nlminb,5000,0.009614236326927372,0.003204745442309124,0.06660174705647047,3,0.003204745442309124,0.003204745442309124
beta,ekw,nr,100,0.1988873977008936,0.0662957992336312,0.010969918684106678,3,0.0662957992336312,0.0662957992336312
beta,ekw,nr,250,0.04957286373390568,0.016524287911301894,0.008988032268227648,3,0.016524287911301894,0.016524287911301894
beta,ekw,nr,500,-0.21148274699435765,-0.07049424899811922,-0.048496182453785126,3,-0.07049424899811922,-0.07049424899811922
beta,ekw,nr,1000,-0.2343732744725231,-0.07812442482417437,-0.04760742619485563,3,-0.07812442482417437,-0.07812442482417437
beta,ekw,nr,5000,-0.10829539805728228,-0.03609846601909409,-0.007706332034559363,3,-0.03609846601909409,-0.03609846601909409
beta,ekw,optim,100,0.8726519895110494,0.29088399650368313,0.48458937928511087,3,0.29088399650368313,0.29088399650368313
beta,ekw,optim,250,0.19833122979992268,0.06611040993330757,0.2626737855185674,3,0.06611040993330757,0.06611040993330757
beta,ekw,optim,500,0.09981612263689588,0.03327204087896529,0.20354517779370512,3,0.03327204087896529,0.03327204087896529
beta,ekw,optim,1000,0.049562277106262265,0.016520759035420756,0.1485380860269311,3,0.016520759035420756,0.016520759035420756
beta,ekw,optim,5000,0.0074051408524784534,0.0024683802841594846,0.051311456299083236,3,0.0024683802841594846,0.0024683802841594846
beta,ekw,tmb,100,0.4267882959972926,0.14226276533243087,0.32419321483581787,3,0.14226276533243087,0.14226276533243087
beta,ekw,tmb,250,0.1498806450226886,0.04996021500756287,0.213098913680013,3,0.04996021500756287,0.04996021500756287
beta,ekw,tmb,500,0.0744908709717862,0.024830290323928732,0.15687290054213743,3,0.024830290323928732,0.024830290323928732
beta,ekw,tmb,1000,0.03133548360254679,0.01044516120084893,0.09575353440494229,3,0.01044516120084893,0.01044516120084893
beta,ekw,tmb,5000,0.007342923821473946,0.0024476412738246487,0.050970150171699945,3,0.0024476412738246487,0.0024476412738246487
beta,gkw,nlminb,100,2.375309166100223,0.7917697220334077,0.1121076998567799,3,0.7917697220334077,0.7917697220334077
beta,gkw,nlminb,250,1.6140599506692164,0.5380199835564055,0.1219439333313975,3,0.5380199835564055,0.5380199835564055
beta,gkw,nlminb,500,1.4330083550042518,0.47766945166808394,0.13709979111266404,3,0.47766945166808394,0.47766945166808394
beta,gkw,nlminb,1000,1.2485004861704985,0.41616682872349947,0.14050886231309684,3,0.41616682872349947,0.41616682872349947
beta,gkw,nlminb,5000,1.3662268680298277,0.4554089560099426,0.18048075124014132,3,0.4554089560099426,0.4554089560099426
beta,gkw,nr,100,2.221259640126532,0.7404198800421774,0.01516452035364703,3,0.7404198800421774,0.7404198800421774
beta,gkw,nr,250,2.2631244476095826,0.7543748158698609,0.017767907814517495,3,0.7543748158698609,0.7543748158698609
beta,gkw,nr,500,1.6821862942084582,0.5607287647361527,0.008789599785903808,3,0.5607287647361527,0.5607287647361527
beta,gkw,nr,1000,0.040431145739095786,0.013477048579698595,2.7063906070746047e-4,3,0.013477048579698595,0.013477048579698595
beta,gkw,nr,5000,2.2651401280160606,0.7550467093386869,0.013572883915153995,3,0.7550467093386869,0.7550467093386869
beta,gkw,optim,100,2.531258787296058,0.8437529290986859,0.11673349839692836,3,0.8437529290986859,0.8437529290986859
beta,gkw,optim,250,2.4596963064726776,0.8198987688242259,0.15561612982204434,3,0.8198987688242259,0.8198987688242259
beta,gkw,optim,500,1.2469217655626288,0.41564058852087626,0.11430722072235003,3,0.41564058852087626,0.41564058852087626
beta,gkw,optim,1000,4.450690961033712,1.483563653677904,0.2569053947168713,3,1.483563653677904,1.483563653677904
beta,gkw,optim,5000,3.5099060199634717,1.1699686733211572,0.3426068458890359,3,1.1699686733211572,1.1699686733211572
beta,gkw,tmb,100,0.8780016062029006,0.2926672020676335,0.11500910680816896,3,0.2926672020676335,0.2926672020676335
beta,gkw,tmb,250,0.8824599517917711,0.2941533172639237,0.12960194271537356,3,0.2941533172639237,0.2941533172639237
beta,gkw,tmb,500,0.7847856079083004,0.26159520263610014,0.1301056978109908,3,0.26159520263610014,0.26159520263610014
beta,gkw,tmb,1000,0.7831257389576165,0.26104191298587215,0.140481197272239,3,0.26104191298587215,0.26104191298587215
beta,gkw,tmb,5000,0.9143688357911648,0.3047896119303883,0.17308918358688685,3,0.3047896119303883,0.3047896119303883
beta,kkw,nlminb,100,6.009709456677253,2.0032364855590843,0.13231413662058258,3,2.0032364855590843,2.0032364855590843
beta,kkw,nlminb,250,2.1227391006762195,0.7075797002254065,0.08453130096865134,3,0.7075797002254065,0.7075797002254065
beta,kkw,nlminb,500,0.679216721854353,0.226405573951451,0.03434149241844156,3,0.226405573951451,0.226405573951451
beta,kkw,nlminb,1000,-0.012667077559852302,-0.004222359186617434,-7.955498902626901e-4,3,-0.004222359186617434,-0.004222359186617434
beta,kkw,nlminb,5000,-0.5185500823211777,-0.17285002744039257,-0.0466382173271025,3,-0.17285002744039257,-0.17285002744039257
beta,kkw,nr,100,9.859751648101222,3.2865838827004072,0.06510446348684669,3,3.2865838827004072,3.2865838827004072
beta,kkw,nr,250,0.846051586521384,0.282017195507128,0.009203814152164707,3,0.282017195507128,0.282017195507128
beta,kkw,nr,500,1.5415218368060808,0.5138406122686936,0.019194876433327294,3,0.5138406122686936,0.5138406122686936
beta,kkw,nr,1000,1.5953309207459396,0.5317769735819798,0.01057120199981781,3,0.5317769735819798,0.5317769735819798
beta,kkw,nr,5000,1.3131281720081516,0.43770939066938386,0.020006850581991774,3,0.43770939066938386,0.43770939066938386
beta,kkw,optim,100,8.853936448443193,2.951312149481064,0.2371429129566878,3,2.951312149481064,2.951312149481064
beta,kkw,optim,250,3.7571241543084932,1.252374718102831,0.1635421550103342,3,1.252374718102831,1.252374718102831
beta,kkw,optim,500,-0.151994809977257,-0.05066493665908567,-0.017984884927289127,3,-0.05066493665908567,-0.05066493665908567
beta,kkw,optim,1000,-0.3023146390528604,-0.10077154635095346,-0.03988128475724022,3,-0.10077154635095346,-0.10077154635095346
beta,kkw,optim,5000,-0.9501098127112391,-0.31670327090374634,-0.2208018341379217,3,-0.31670327090374634,-0.31670327090374634
beta,kkw,tmb,100,1.969551910342413,0.6565173034474711,0.23122040490061552,3,0.6565173034474711,0.6565173034474711
beta,kkw,tmb,250,1.5165472845867223,0.5055157615289074,0.19922104121840856,3,0.5055157615289074,0.5055157615289074
beta,kkw,tmb,500,0.9432284196622471,0.314409473220749,0.1342526042118234,3,0.314409473220749,0.314409473220749
beta,kkw,tmb,1000,0.5887908666475203,0.19626362221584012,0.0868240754054828,3,0.19626362221584012,0.19626362221584012
beta,kkw,tmb,5000,0.3487205448828625,0.11624018162762084,0.052603580691088156,3,0.11624018162762084,0.11624018162762084
beta,kw,nlminb,100,0.1277263043072585,0.04257543476908617,0.2465429690487243,3,0.04257543476908617,0.04257543476908617
beta,kw,nlminb,250,0.052352606054096196,0.017450868684698733,0.16511113240612846,3,0.017450868684698733,0.017450868684698733
beta,kw,nlminb,500,0.025183000251139287,0.008394333417046429,0.11366819993656496,3,0.008394333417046429,0.008394333417046429
beta,kw,nlminb,1000,0.012527413760066608,0.004175804586688869,0.08040711217227386,3,0.004175804586688869,0.004175804586688869
beta,kw,nlminb,5000,0.002502844317587183,8.342814391957276e-4,0.036084135729822185,3,8.342814391957276e-4,8.342814391957276e-4
beta,kw,nr,100,0.12691700590613397,0.04230566863537799,0.24482438599066975,3,0.04230566863537799,0.04230566863537799
beta,kw,nr,250,0.054962151029041006,0.018320717009680337,0.17305843770157925,3,0.018320717009680337,0.018320717009680337
beta,kw,nr,500,0.038007660548797784,0.012669220182932595,0.17061364177603594,3,0.012669220182932595,0.012669220182932595
beta,kw,nr,1000,0.023076647678650364,0.007692215892883454,0.14751762781034808,3,0.007692215892883454,0.007692215892883454
beta,kw,nr,5000,0.00739076867764199,0.0024635895592139967,0.10635729006796663,3,0.0024635895592139967,0.0024635895592139967
beta,kw,optim,100,0.12511394831090472,0.04170464943696824,0.24168619257657403,3,0.04170464943696824,0.04170464943696824
beta,kw,optim,250,0.053885009467709466,0.01796166982256982,0.16983053486129834,3,0.01796166982256982,0.01796166982256982
beta,kw,optim,500,0.024193563539706364,0.00806452117990212,0.10925137307635967,3,0.00806452117990212,0.00806452117990212
beta,kw,optim,1000,0.012465667361786892,0.004155222453928964,0.08002130752839416,3,0.004155222453928964,0.004155222453928964
beta,kw,optim,5000,0.0018427607904554222,6.14253596818474e-4,0.026576352770216378,3,6.14253596818474e-4,6.14253596818474e-4
beta,kw,tmb,100,0.10201128110491853,0.03400376036830618,0.19893712552794132,3,0.03400376036830618,0.03400376036830618
beta,kw,tmb,250,0.04195241887290724,0.013984139624302413,0.13288858750107518,3,0.013984139624302413,0.013984139624302413
beta,kw,tmb,500,0.0218131469561631,0.0072710489853877,0.09860181596173094,3,0.0072710489853877,0.0072710489853877
beta,kw,tmb,1000,0.009857073492283597,0.003285691164094532,0.06334633104501447,3,0.003285691164094532,0.003285691164094532
beta,kw,tmb,5000,0.0013645678721916354,4.548559573972118e-4,0.019683090756540185,3,4.548559573972118e-4,4.548559573972118e-4
delta,beta,nlminb,100,0.08672874553002208,0.04336437276501104,0.20572971450609323,2,0.04336437276501104,0.04336437276501104
delta,beta,nlminb,250,0.03225071400573709,0.016125357002868546,0.12321306880472084,2,0.016125357002868546,0.016125357002868546
delta,beta,nlminb,500,0.016487738720464495,0.008243869360232248,0.0895660096189675,2,0.008243869360232248,0.008243869360232248
delta,beta,nlminb,1000,0.01036322608358331,0.005181613041791655,0.07978275988016911,2,0.005181613041791655,0.005181613041791655
delta,beta,nlminb,5000,0.0014806013468442458,7.403006734221229e-4,0.025566660628635142,2,7.403006734221229e-4,7.403006734221229e-4
delta,beta,nr,100,0.08244179711838973,0.04122089855919486,0.1958463329291676,2,0.04122089855919486,0.04122089855919486
delta,beta,nr,250,0.032300961900513236,0.016150480950256618,0.12340634891302138,2,0.016150480950256618,0.016150480950256618
delta,beta,nr,500,0.013337218837358389,0.0066686094186791944,0.07253147195045719,2,0.0066686094186791944,0.0066686094186791944
delta,beta,nr,1000,0.0052985812579220415,0.0026492906289610207,0.040863902253161354,2,0.0026492906289610207,0.0026492906289610207
delta,beta,nr,5000,0.0016159692332902154,8.079846166451077e-4,0.0279029216712867,2,8.079846166451077e-4,8.079846166451077e-4
delta,beta,optim,100,0.09441020207074047,0.047205101035370234,0.2233731758060851,2,0.047205101035370234,0.047205101035370234
delta,beta,optim,250,0.0329319207905332,0.0164659603952666,0.12578838864308783,2,0.0164659603952666,0.0164659603952666
delta,beta,optim,500,0.012544314121529343,0.0062721570607646715,0.06823610441206404,2,0.0062721570607646715,0.0062721570607646715
delta,beta,optim,1000,0.006086357196317227,0.0030431785981586135,0.04692558407608524,2,0.0030431785981586135,0.0030431785981586135
delta,beta,optim,5000,0.001384322630631818,6.92161315315909e-4,0.023904877479241086,2,6.92161315315909e-4,6.92161315315909e-4
delta,beta,tmb,100,0.07400907664821865,0.037004538324109326,0.1763896021459462,2,0.037004538324109326,0.037004538324109326
delta,beta,tmb,250,0.02664667389887887,0.013323336949439435,0.10201801994281985,2,0.013323336949439435,0.013323336949439435
delta,beta,tmb,500,0.013076264810018667,0.006538132405009334,0.07112391216875691,2,0.006538132405009334,0.006538132405009334
delta,beta,tmb,1000,0.007284284021479959,0.0036421420107399793,0.05614108539855824,2,0.0036421420107399793,0.0036421420107399793
delta,beta,tmb,5000,0.0018791565032354463,9.395782516177231e-4,0.03244455402679655,2,9.395782516177231e-4,9.395782516177231e-4
delta,bkw,nlminb,100,12.927012028504658,8.618008019003105,0.08961026502185458,1.5,8.618008019003105,8.618008019003105
