method,parameter,sample_size,mean_abs_bias,mean_abs_rel_bias,mean_abs_bias_z,mean_coverage,mean_convergence,mean_time
nlminb,alpha,100,0.22391189052938754,0.11195594526469377,0.13408779160231954,0.9261069949169991,0.6679142857142857,0.11839421317861805
nlminb,alpha,250,0.13278884338084448,0.06639442169042224,0.09756781991606178,0.9254644582294055,0.724,0.0951962430807747
nlminb,alpha,500,0.09835335597347425,0.049176677986737125,0.07736335642137676,0.9285028110679319,0.7478857142857143,0.10383776819950667
nlminb,alpha,1000,0.09823076874414016,0.04911538437207008,0.07135135469314625,0.9379837463201984,0.7578285714285714,0.11680473224378055
nlminb,alpha,5000,0.06766147135879516,0.03383073567939758,0.04677383909918152,0.9593557712950987,0.7721714285714286,0.2582254289094926
nr,alpha,100,0.2155863856100603,0.10779319280503015,0.038003735033465394,0.9675296580897583,0.7350857142857142,0.13100006665226852
nr,alpha,250,0.436675446240518,0.218337723120259,0.025810074989025645,0.9631538893632321,0.8715714285714286,0.12279235665398398
nr,alpha,500,0.30391280553796035,0.15195640276898018,0.038282121251965624,0.964148191385798,0.9303142857142858,0.13215660294532752
nr,alpha,1000,0.1924903418873088,0.0962451709436544,0.0375564325793431,0.9805723843956382,0.9541142857142857,0.13968338774783678
nr,alpha,5000,0.24498343300550487,0.12249171650275244,0.038671146563033366,0.9084836405171216,0.8868571428571429,0.3339446049807855
optim,alpha,100,0.5926789912574623,0.29633949562873113,0.20442191147185448,0.9322411773095259,0.8193142857142857,0.10352371935215518
optim,alpha,250,0.4055881702148986,0.2027940851074493,0.14576815131174123,0.9286211705179742,0.8325428571428571,0.096992891632725
optim,alpha,500,0.09175477095584181,0.045877385477920904,0.06894588603218622,0.9411392861166804,0.8452857142857143,0.10510037102371887
optim,alpha,1000,0.1884501423717337,0.09422507118586684,0.10077836118289257,0.9565757706414201,0.8266857142857142,0.11847143332040955
optim,alpha,5000,0.14689828619045636,0.07344914309522818,0.08523052740742766,0.9690813137077623,0.8009714285714286,0.21559063931743344
tmb,alpha,100,0.1373841545457517,0.06869207727287585,0.0981538954437296,0.957513956348146,0.9789714285714286,0.1416969823894934
tmb,alpha,250,0.12298225799126175,0.061491128995630875,0.08782845860643036,0.9700185545965045,0.9847142857142858,0.1250116723581572
tmb,alpha,500,0.07371442037350628,0.03685721018675314,0.06484024309108918,0.9725075295030462,0.9836857142857143,0.14261220559808688
tmb,alpha,1000,0.037547995498087516,0.018773997749043758,0.03693485212562268,0.970129022993299,0.9833714285714286,0.169923678502007
tmb,alpha,5000,0.015617570440845307,0.007808785220422654,0.02167457921782808,0.9684390728198375,0.9890857142857142,0.38372159701748415
nlminb,beta,100,1.9290147079898314,0.6430049026632771,0.18282402144737647,0.9559442996092087,0.6679142857142857,0.11839421317861805
nlminb,beta,250,0.9189196393712751,0.3063065464570917,0.13153567774114128,0.9569290731967762,0.724,0.0951962430807747
nlminb,beta,500,0.5777857900985449,0.19259526336618163,0.10058914736159441,0.9464763707207468,0.7478857142857143,0.10383776819950667
nlminb,beta,1000,0.38607291346354106,0.12869097115451367,0.07683082450410525,0.9489356000581902,0.7578285714285714,0.11680473224378055
nlminb,beta,5000,0.4566923523360855,0.1522307841120285,0.07806311026606552,0.9413373126153336,0.7721714285714286,0.2582254289094926
nr,beta,100,2.6549556205045146,0.8849852068348382,0.06898281831815911,0.9808005368786267,0.7350857142857142,0.13100006665226852
nr,beta,250,0.754582808125223,0.2515276027084077,0.04289975377321054,0.9721826971353682,0.8715714285714286,0.12279235665398398
nr,beta,500,0.7865421576118281,0.2621807192039427,0.05052953108333873,0.968508495657574,0.9303142857142858,0.13215660294532752
nr,beta,1000,0.5230033164193003,0.17433443880643343,0.0426749421380741,0.976413963405147,0.9541142857142857,0.13968338774783678
nr,beta,5000,0.740081856218014,0.24669395207267134,0.0295569663234732,0.9601056904653786,0.8868571428571429,0.3339446049807855
optim,beta,100,2.516925806158704,0.838975268719568,0.21729458322960635,0.9739241524060992,0.8193142857142857,0.10352371935215518
optim,beta,250,1.314621205804371,0.438207068601457,0.1510153011204131,0.9752357143724019,0.8325428571428571,0.096992891632725
optim,beta,500,0.3284232099336603,0.1094744033112201,0.08992904238223322,0.9537169771949229,0.8452857142857143,0.10510037102371887
optim,beta,1000,0.9631096803784625,0.3210365601261541,0.10507421373857044,0.9679655554914636,0.8266857142857142,0.11847143332040955
optim,beta,5000,0.9496391131745308,0.3165463710581769,0.13327112349205159,0.9665874255472992,0.8009714285714286,0.21559063931743344
tmb,beta,100,0.7156428787968985,0.2385476262656328,0.18146334650656196,0.977038365906721,0.9789714285714286,0.1416969823894934
tmb,beta,250,0.5754212647250284,0.19180708824167614,0.1459143406773066,0.9790248407945669,0.9847142857142858,0.1250116723581572
tmb,beta,500,0.42287017765682855,0.1409567258856095,0.11515017090337061,0.9796770340191485,0.9836857142857143,0.14261220559808688
tmb,beta,1000,0.33678543777362224,0.1122618125912074,0.08790711272115623,0.98196,0.9833714285714286,0.169923678502007
tmb,beta,5000,0.2866219205426089,0.09554064018086962,0.06597941565248819,0.9725315485986822,0.9890857142857142,0.38372159701748415
nlminb,delta,100,13.76634468919505,5.453473323149661,0.12399886851898682,0.9740442425604314,0.6679142857142857,0.11839421317861805
nlminb,delta,250,2.5883811917803943,1.4962482086012625,0.14875871622771114,0.975176212477364,0.724,0.0951962430807747
nlminb,delta,500,1.6826621011202747,1.0437170953215693,0.11590618409502061,0.9760785819636693,0.7478857142857143,0.10383776819950667
