parameter,method,mean_abs_rel_bias,mean_bias_z,mean_coverage,overall_rank
alpha,nr,0.13936484122813522,0.035664702083366626,0.9567775527503096,2
alpha,tmb,0.038724639884945254,0.06188640569693998,0.9677216272521667,2.3333333333333335
alpha,nlminb,0.06209463299866416,0.08542883234641717,0.9358734130929653,2.6666666666666665
alpha,optim,0.14253703609903928,0.12102896748122044,0.9455317436586725,3
beta,nlminb,0.2845656935506185,0.1139685562640566,0.9496737075580028,1.6666666666666667
beta,nr,0.3639443839252587,0.046928802327251135,0.9716022767084189,2.3333333333333335
beta,tmb,0.1558227786329991,0.11928287729217672,0.9780463578638237,2.6666666666666665
beta,optim,0.40484793436331523,0.13931685279257494,0.9674859650024373,3.3333333333333335
delta,tmb,0.14069590864761175,0.11597475446859833,0.9752261698072954,1.6666666666666667
delta,nr,0.27183185093506107,0.031213700814703215,0.906395462522624,2.3333333333333335
delta,optim,0.349053876400034,0.1422878262353279,0.9713789138406359,2.6666666666666665
delta,nlminb,1.843582518204715,0.12302486954626068,0.9762148275672835,3.3333333333333335
gamma,nr,0.3384195329655025,0.03571395336325229,0.9275223168959937,1.3333333333333333
gamma,tmb,0.20078100861113501,0.18805630613724467,0.9248977342244412,2
gamma,optim,0.4898111980206379,0.1477899942482014,0.8920153297046308,2.6666666666666665
gamma,nlminb,0.9029442207132943,0.192992797523743,0.874062552961921,4
lambda,nr,0.441025227215454,0.016523842686260004,0.9181721135402845,2
lambda,tmb,0.3811060578841828,0.2017087713928546,0.9393207336383618,2
lambda,nlminb,1.887834701492741,0.17249524967208058,0.9459741608919272,2.3333333333333335
lambda,optim,1.60970849728403,0.2069059798283343,0.8972545485832367,3.6666666666666665
