parameter,family,method,sample_size,mean_coverage,min_coverage,max_coverage,target_coverage,coverage_diff
beta,gkw,nlminb,250,0.994649545211343,0.994649545211343,0.994649545211343,0.95,0.04464954521134301
beta,gkw,nlminb,500,0.9918450560652395,0.9918450560652395,0.9918450560652395,0.95,0.04184505606523958
beta,gkw,nlminb,1000,0.9906542056074766,0.9906542056074766,0.9906542056074766,0.95,0.04065420560747668
beta,gkw,nlminb,5000,0.9908168197196714,0.9908168197196714,0.9908168197196714,0.95,0.04081681971967144
beta,gkw,nr,100,0.9977767896843042,0.9977767896843042,0.9977767896843042,0.95,0.04777678968430421
beta,gkw,nr,250,0.9963541666666667,0.9963541666666667,0.9963541666666667,0.95,0.046354166666666696
beta,gkw,nr,500,0.9995632234112252,0.9995632234112252,0.9995632234112252,0.95,0.04956322341122521
beta,gkw,nr,1000,0.9970687711386697,0.9970687711386697,0.9970687711386697,0.95,0.047068771138669696
beta,gkw,nr,5000,0.9640311082307194,0.9640311082307194,0.9640311082307194,0.95,0.014031108230719402
beta,gkw,optim,100,0.9948571428571429,0.9948571428571429,0.9948571428571429,0.95,0.04485714285714293
beta,gkw,optim,250,0.9977298524404086,0.9977298524404086,0.9977298524404086,0.95,0.047729852440408616
beta,gkw,optim,500,0.9862829478214094,0.9862829478214094,0.9862829478214094,0.95,0.036282947821409395
beta,gkw,optim,1000,0.9926666666666667,0.9926666666666667,0.9926666666666667,0.95,0.04266666666666674
beta,gkw,optim,5000,0.9854492542742815,0.9854492542742815,0.9854492542742815,0.95,0.03544925427428158
beta,gkw,tmb,100,0.9995942381821871,0.9995942381821871,0.9995942381821871,0.95,0.04959423818218711
beta,gkw,tmb,250,1,1,1,0.95,0.050000000000000044
beta,gkw,tmb,500,1,1,1,0.95,0.050000000000000044
beta,gkw,tmb,1000,1,1,1,0.95,0.050000000000000044
beta,gkw,tmb,5000,0.9983047255774529,0.9983047255774529,0.9983047255774529,0.95,0.04830472557745291
beta,kkw,nlminb,100,NA,Inf,-Inf,0.95,NA
beta,kkw,nlminb,250,NA,Inf,-Inf,0.95,NA
beta,kkw,nlminb,500,0.9893350062735258,0.9893350062735258,0.9893350062735258,0.95,0.03933500627352582
beta,kkw,nlminb,1000,0.9877437325905293,0.9877437325905293,0.9877437325905293,0.95,0.03774373259052932
beta,kkw,nlminb,5000,0.9982094897045658,0.9982094897045658,0.9982094897045658,0.95,0.048209489704565844
beta,kkw,nr,100,0.99903784477229,0.99903784477229,0.99903784477229,0.95,0.04903784477229001
beta,kkw,nr,250,0.9992576095025983,0.9992576095025983,0.9992576095025983,0.95,0.04925760950259839
beta,kkw,nr,500,0.9919242550821499,0.9919242550821499,0.9919242550821499,0.95,0.04192425508214992
beta,kkw,nr,1000,0.9977728285077951,0.9977728285077951,0.9977728285077951,0.95,0.047772828507795184
beta,kkw,nr,5000,0.9720483938256154,0.9720483938256154,0.9720483938256154,0.95,0.02204839382561541
beta,kkw,optim,100,0.9881026925485284,0.9881026925485284,0.9881026925485284,0.95,0.038102692548528494
beta,kkw,optim,250,0.9936750998668442,0.9936750998668442,0.9936750998668442,0.95,0.04367509986684426
beta,kkw,optim,500,0.8836351441985245,0.8836351441985245,0.8836351441985245,0.95,-0.06636485580147544
beta,kkw,optim,1000,0.9550634972321719,0.9550634972321719,0.9550634972321719,0.95,0.005063497232171921
beta,kkw,optim,5000,0.9554385964912281,0.9554385964912281,0.9554385964912281,0.95,0.0054385964912281315
beta,kkw,tmb,100,0.9903055848261327,0.9903055848261327,0.9903055848261327,0.95,0.04030558482613278
beta,kkw,tmb,250,0.9967152535413673,0.9967152535413673,0.9967152535413673,0.95,0.046715253541367296
beta,kkw,tmb,500,0.9991851700957425,0.9991851700957425,0.9991851700957425,0.95,0.049185170095742525
beta,kkw,tmb,1000,1,1,1,0.95,0.050000000000000044
beta,kkw,tmb,5000,0.9639530174159578,0.9639530174159578,0.9639530174159578,0.95,0.013953017415957891
beta,kw,nlminb,100,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
beta,kw,nlminb,250,0.9548,0.9548,0.9548,0.95,0.0048000000000000265
beta,kw,nlminb,500,0.9452,0.9452,0.9452,0.95,-0.0047999999999999154
beta,kw,nlminb,1000,0.9508,0.9508,0.9508,0.95,8.000000000000229e-4
beta,kw,nlminb,5000,0.9518,0.9518,0.9518,0.95,0.0018000000000000238
beta,kw,nr,100,0.958,0.958,0.958,0.95,0.008000000000000007
beta,kw,nr,250,0.9582,0.9582,0.9582,0.95,0.008200000000000096
beta,kw,nr,500,0.9536,0.9536,0.9536,0.95,0.0036000000000000476
beta,kw,nr,1000,0.9516,0.9516,0.9516,0.95,0.0016000000000000458
beta,kw,nr,5000,0.9326,0.9326,0.9326,0.95,-0.01739999999999997
beta,kw,optim,100,0.9556,0.9556,0.9556,0.95,0.005600000000000049
beta,kw,optim,250,0.9514,0.9514,0.9514,0.95,0.0014000000000000679
beta,kw,optim,500,0.9484,0.9484,0.9484,0.95,-0.0015999999999999348
beta,kw,optim,1000,0.9456,0.9456,0.9456,0.95,-0.0043999999999999595
beta,kw,optim,5000,0.945,0.945,0.945,0.95,-0.0050000000000000044
beta,kw,tmb,100,0.953,0.953,0.953,0.95,0.0030000000000000027
beta,kw,tmb,250,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
beta,kw,tmb,500,0.9486,0.9486,0.9486,0.95,-0.0013999999999999568
beta,kw,tmb,1000,0.9566,0.9566,0.9566,0.95,0.00660000000000005
beta,kw,tmb,5000,0.9458,0.9458,0.9458,0.95,-0.0041999999999999815
delta,beta,nlminb,100,0.9552,0.9552,0.9552,0.95,0.0052000000000000934
delta,beta,nlminb,250,0.9464,0.9464,0.9464,0.95,-0.0035999999999999366
delta,beta,nlminb,500,0.9496,0.9496,0.9496,0.95,-3.9999999999995595e-4
delta,beta,nlminb,1000,0.95,0.95,0.95,0.95,0
delta,beta,nlminb,5000,0.9512,0.9512,0.9512,0.95,0.0012000000000000899
delta,beta,nr,100,0.9532,0.9532,0.9532,0.95,0.0032000000000000917
delta,beta,nr,250,0.955,0.955,0.955,0.95,0.0050000000000000044
delta,beta,nr,500,0.949,0.949,0.949,0.95,-0.0010000000000000009
delta,beta,nr,1000,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
delta,beta,nr,5000,0.9488,0.9488,0.9488,0.95,-0.0011999999999999789
delta,beta,optim,100,0.9554,0.9554,0.9554,0.95,0.005400000000000071
delta,beta,optim,250,0.95,0.95,0.95,0.95,0
delta,beta,optim,500,0.9514,0.9514,0.9514,0.95,0.0014000000000000679
delta,beta,optim,1000,0.9528,0.9528,0.9528,0.95,0.0028000000000000247
delta,beta,optim,5000,0.9504,0.9504,0.9504,0.95,4.0000000000006697e-4
delta,beta,tmb,100,0.9492,0.9492,0.9492,0.95,-7.999999999999119e-4
delta,beta,tmb,250,0.9458,0.9458,0.9458,0.95,-0.0041999999999999815
delta,beta,tmb,500,0.951,0.951,0.951,0.95,0.0010000000000000009
delta,beta,tmb,1000,0.9492,0.9492,0.9492,0.95,-7.999999999999119e-4
delta,beta,tmb,5000,0.9542,0.9542,0.9542,0.95,0.0042000000000000925
delta,bkw,nlminb,100,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,250,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,500,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,1000,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,5000,0.9996445076430857,0.9996445076430857,0.9996445076430857,0.95,0.0496445076430857
delta,bkw,nr,100,0.9975677553856845,0.9975677553856845,0.9975677553856845,0.95,0.047567755385684585
delta,bkw,nr,250,0.9993919124353907,0.9993919124353907,0.9993919124353907,0.95,0.04939191243539076
delta,bkw,nr,500,0.9819630872483222,0.9819630872483222,0.9819630872483222,0.95,0.0319630872483222
delta,bkw,nr,1000,0.9807599807599807,0.9807599807599807,0.9807599807599807,0.95,0.030759980759980765
delta,bkw,nr,5000,0.99633699633699635,0.99633699633699635,0.99633699633699635,0.95,0.046336996336996394
delta,bkw,optim,100,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,250,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,500,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,1000,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,5000,0.999208547685002,0.999208547685002,0.999208547685002,0.95,0.049208547685002046
delta,bkw,tmb,100,0.9972410865874364,0.9972410865874364,0.9972410865874364,0.95,0.04724108658743642
delta,bkw,tmb,250,0.9997940267765191,0.9997940267765191,0.9997940267765191,0.95,0.04979402677651912
delta,bkw,tmb,500,1,1,1,0.95,0.050000000000000044
delta,bkw,tmb,1000,1,1,1,0.95,0.050000000000000044
delta,bkw,tmb,5000,0.9993952832090305,0.9993952832090305,0.9993952832090305,0.95,0.04939528320903053
delta,gkw,nlminb,100,NA,Inf,-Inf,0.95,NA
delta,gkw,nlminb,250,0.9989299090422686,0.9989299090422686,0.9989299090422686,0.95,0.04892990904226868
delta,gkw,nlminb,500,0.9994903160040775,0.9994903160040775,0.9994903160040775,0.95,0.049490316004077495
delta,gkw,nlminb,1000,0.9950811608460404,0.9950811608460404,0.9950811608460404,0.95,0.04508116084604041
delta,gkw,nlminb,5000,0.9850169163847269,0.9850169163847269,0.9850169163847269,0.95,0.035016916384726926
delta,gkw,nr,100,0.9555357936860827,0.9555357936860827,0.9555357936860827,0.95,0.005535793686082702
delta,gkw,nr,250,0.93984375,0.93984375,0.93984375,0.95,-0.010156249999999978
delta,gkw,nr,500,0.9938851277571522,0.9938851277571522,0.9938851277571522,0.95,0.043885127757152254
delta,gkw,nr,1000,0.9959413754227734,0.9959413754227734,0.9959413754227734,0.95,0.045941375422773434
delta,gkw,nr,5000,0.9773169151004537,0.9773169151004537,0.9773169151004537,0.95,0.027316915100453754
delta,gkw,optim,100,0.996,0.996,0.996,0.95,0.04600000000000004
delta,gkw,optim,250,0.996594778660613,0.996594778660613,0.996594778660613,0.95,0.04659477866061301
delta,gkw,optim,500,0.9895104895104895,0.9895104895104895,0.9895104895104895,0.95,0.03951048951048952
delta,gkw,optim,1000,0.967,0.967,0.967,0.95,0.017000000000000015
delta,gkw,optim,5000,0.9126955256456893,0.9126955256456893,0.9126955256456893,0.95,-0.03730447435431061
delta,gkw,tmb,100,0.9920876445526476,0.9920876445526476,0.9920876445526476,0.95,0.042087644552647685
delta,gkw,tmb,250,0.9995794785534062,0.9995794785534062,0.9995794785534062,0.95,0.049579478553406275
delta,gkw,tmb,500,1,1,1,0.95,0.050000000000000044
delta,gkw,tmb,1000,0.9995584988962473,0.9995584988962473,0.9995584988962473,0.95,0.049558498896247305
delta,gkw,tmb,5000,0.9682136045772409,0.9682136045772409,0.9682136045772409,0.95,0.01821360457724097
delta,kkw,nlminb,100,NA,Inf,-Inf,0.95,NA
delta,kkw,nlminb,250,NA,Inf,-Inf,0.95,NA
delta,kkw,nlminb,500,1,1,1,0.95,0.050000000000000044
delta,kkw,nlminb,1000,0.9994428969359331,0.9994428969359331,0.9994428969359331,0.95,0.04944289693593318
delta,kkw,nlminb,5000,0.9973142345568488,0.9973142345568488,0.9973142345568488,0.95,0.0473142345568488
delta,kkw,nr,100,0.9355355997434253,0.9355355997434253,0.9355355997434253,0.95,-0.014464400256574694
delta,kkw,nr,250,0.9747587230883444,0.9747587230883444,0.9747587230883444,0.95,0.02475872308834448
delta,kkw,nr,500,0.9557226399331662,0.9557226399331662,0.9557226399331662,0.95,0.00572263993316624
delta,kkw,nr,1000,0.7023689005871634,0.7023689005871634,0.7023689005871634,0.95,-0.24763109941283656
delta,kkw,nr,5000,0.9096787651230704,0.9096787651230704,0.9096787651230704,0.95,-0.04032123487692951
delta,kkw,optim,100,0.9721352536005009,0.9721352536005009,0.9721352536005009,0.95,0.022135253600500948
delta,kkw,optim,250,0.9973368841544608,0.9973368841544608,0.9973368841544608,0.95,0.0473368841544608
delta,kkw,optim,500,0.9979879275653923,0.9979879275653923,0.9979879275653923,0.95,0.047987927565392385
delta,kkw,optim,1000,0.9983718658417453,0.9983718658417453,0.9983718658417453,0.95,0.048371865841745354
delta,kkw,optim,5000,0.9996491228070176,0.9996491228070176,0.9996491228070176,0.95,0.04964912280701761
delta,kkw,tmb,100,0.9540569020021075,0.9540569020021075,0.9540569020021075,0.95,0.00405690200210751
delta,kkw,tmb,250,0.9928146171217409,0.9928146171217409,0.9928146171217409,0.95,0.04281461712174095
delta,kkw,tmb,500,0.9989814626196781,0.9989814626196781,0.9989814626196781,0.95,0.04898146261967817
delta,kkw,tmb,1000,0.9997976118194697,0.9997976118194697,0.9997976118194697,0.95,0.049797611819469734
delta,kkw,tmb,5000,0.9987849331713244,0.9987849331713244,0.9987849331713244,0.95,0.048784933171324485
delta,mc,nr,100,1,1,1,0.95,0.050000000000000044
delta,mc,nr,250,1,1,1,0.95,0.050000000000000044
delta,mc,nr,500,1,1,1,0.95,0.050000000000000044
delta,mc,nr,1000,1,1,1,0.95,0.050000000000000044
delta,mc,nr,5000,1,1,1,0.95,0.050000000000000044
delta,mc,tmb,100,0.9517490952955368,0.9517490952955368,0.9517490952955368,0.95,0.0017490952955367955
delta,mc,tmb,250,0.942,0.942,0.942,0.95,-0.008000000000000007
delta,mc,tmb,500,0.9376,0.9376,0.9376,0.95,-0.012399999999999967
delta,mc,tmb,1000,0.948,0.948,0.948,0.95,-0.0020000000000000018
delta,mc,tmb,5000,0.9516,0.9516,0.9516,0.95,0.0016000000000000458
gamma,beta,nlminb,100,0.9536,0.9536,0.9536,0.95,0.0036000000000000476
gamma,beta,nlminb,250,0.9518,0.9518,0.9518,0.95,0.0018000000000000238
gamma,beta,nlminb,500,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
gamma,beta,nlminb,1000,0.9482,0.9482,0.9482,0.95,-0.0017999999999999128
