parameter,method,mean_abs_bias,mean_abs_rel_bias,mean_abs_bias_z
alpha,nlminb,0.115,0.06,0.08
alpha,nr,0.2763,0.14,0.04
alpha,optim,0.2676,0.13,0.11
alpha,tmb,0.0774,0.04,0.06
beta,nlminb,0.714,0.24,0.11
beta,nr,1.1374,0.38,0.05
beta,optim,1.3812,0.46,0.14
beta,tmb,0.4675,0.16,0.12
delta,nlminb,4.1232,2.06,0.11
delta,nr,1.1686,0.4,0.03
delta,optim,1.0025,0.4,0.11
delta,tmb,0.3454,0.14,0.12
gamma,nlminb,0.4403,0.54,0.16
gamma,nr,0.1184,0.14,0.03
gamma,optim,0.3402,0.42,0.13
gamma,tmb,0.1804,0.2,0.19
lambda,nlminb,4.2137,2.81,0.2
lambda,nr,0.6063,0.4,0.01
lambda,optim,3.2345,2.16,0.26
lambda,tmb,0.5717,0.38,0.2
