method,family,mean_score
tmb,beta,0.4210728129303354
nlminb,beta,0.41822015473391244
nr,beta,0.34375519145400857
optim,beta,0.32888743238781
tmb,bkw,0.6952824598400401
optim,bkw,0.5254719450124509
nr,bkw,0.4663359790956168
nlminb,bkw,0.3851670420912141
tmb,ekw,0.634385023197392
optim,ekw,0.47062348318183805
nlminb,ekw,0.40218153195715933
nr,ekw,0.3962054672216384
tmb,gkw,0.6089575855241605
nr,gkw,0.4787764088661038
optim,gkw,0.33920618993878066
nlminb,gkw,0.25335873771839645
tmb,kkw,0.5656863460318738
nlminb,kkw,0.4013439200689337
nr,kkw,0.3692772201909409
optim,kkw,0.2734994638553574
tmb,kw,0.4810171963132367
optim,kw,0.47308363562774974
nlminb,kw,0.38231128760157285
nr,kw,0.3026166064983087
tmb,mc,0.6165807186425761
nr,mc,0.3530103712266302
