parameter,family,method,sample_size,mean_bias,mean_rel_bias,mean_bias_z,mean_true_value,min_rel_bias,max_rel_bias
alpha,bkw,nlminb,100,0.01897884750225387,0.009489423751126935,0.01335468389200232,2,0.009489423751126935,0.009489423751126935
alpha,bkw,nlminb,250,-0.0016576844072955232,-8.288422036477616e-4,-0.001914732258068035,2,-8.288422036477616e-4,-8.288422036477616e-4
alpha,bkw,nlminb,500,-0.004099440897266993,-0.0020497204486334963,-0.006986243093154416,2,-0.0020497204486334963,-0.0020497204486334963
alpha,bkw,nlminb,1000,0.005435447183562037,0.0027177235917810183,0.01363398938063061,2,0.0027177235917810183,0.0027177235917810183
alpha,bkw,nlminb,5000,0.005679611718640842,0.002839805859320421,0.032175198380970826,2,0.002839805859320421,0.002839805859320421
alpha,bkw,nr,100,-0.13638489112537266,-0.06819244556268633,-0.027051924966765537,2,-0.06819244556268633,-0.06819244556268633
alpha,bkw,nr,250,-0.19108460050218468,-0.09554230025109234,-0.008655277489910193,2,-0.09554230025109234,-0.09554230025109234
alpha,bkw,nr,500,-0.14928170143598396,-0.07464085071799198,-0.002956285117830917,2,-0.07464085071799198,-0.07464085071799198
alpha,bkw,nr,1000,-0.22438748805689768,-0.11219374402844884,-0.0032673898755275414,2,-0.11219374402844884,-0.11219374402844884
alpha,bkw,nr,5000,-0.14187678239237278,-0.07093839119618639,-0.11086696508106175,2,-0.07093839119618639,-0.07093839119618639
alpha,bkw,optim,100,0.03572225924502881,0.017861129622514405,0.02413569947660726,2,0.017861129622514405,0.017861129622514405
alpha,bkw,optim,250,0.03453812566254477,0.017269062831272386,0.037564403637234955,2,0.017269062831272386,0.017269062831272386
alpha,bkw,optim,500,0.009070051958211867,0.004535025979105933,0.014107565263777185,2,0.004535025979105933,0.004535025979105933
alpha,bkw,optim,1000,0.037226817304733206,0.018613408652366603,0.08319932405609472,2,0.018613408652366603,0.018613408652366603
alpha,bkw,optim,5000,0.0043487411411158305,0.0021743705705579153,0.022081576478818452,2,0.0021743705705579153,0.0021743705705579153
alpha,bkw,tmb,100,-0.036291546608224756,-0.018145773304112378,-0.03321685495367397,2,-0.018145773304112378,-0.018145773304112378
alpha,bkw,tmb,250,-0.012403900832790304,-0.006201950416395152,-0.017425761791047947,2,-0.006201950416395152,-0.006201950416395152
alpha,bkw,tmb,500,-0.010286911226217166,-0.005143455613108583,-0.020569896643329134,2,-0.005143455613108583,-0.005143455613108583
alpha,bkw,tmb,1000,-0.005090765514679685,-0.0025453827573398424,-0.014503410893258949,2,-0.0025453827573398424,-0.0025453827573398424
alpha,bkw,tmb,5000,0.002075162949822129,0.0010375814749110646,0.012940922930303515,2,0.0010375814749110646,0.0010375814749110646
alpha,ekw,nlminb,100,0.5405106488691569,0.27025532443457845,0.2834262870783866,2,0.27025532443457845,0.27025532443457845
alpha,ekw,nlminb,250,0.15062619753553363,0.07531309876776682,0.14204727112431945,2,0.07531309876776682,0.07531309876776682
alpha,ekw,nlminb,500,0.07402694798422749,0.03701347399211374,0.10120694649554492,2,0.03701347399211374,0.03701347399211374
alpha,ekw,nlminb,1000,0.031172324240692273,0.015586162120346136,0.061153144408214906,2,0.015586162120346136,0.015586162120346136
alpha,ekw,nlminb,5000,0.009141518273029448,0.004570759136514724,0.040497630585553585,2,0.004570759136514724,0.004570759136514724
alpha,ekw,nr,100,-0.07896108298433036,-0.03948054149216518,-0.002446607756279871,2,-0.03948054149216518,-0.03948054149216518
alpha,ekw,nr,250,-0.042166955002794326,-0.021083477501397163,-0.004888878995947134,2,-0.021083477501397163,-0.021083477501397163
alpha,ekw,nr,500,-0.4209207224435685,-0.21046036122178424,-0.05875748010905122,2,-0.21046036122178424,-0.21046036122178424
alpha,ekw,nr,1000,-0.4143196107312197,-0.20715980536560985,-0.05012585284464531,2,-0.20715980536560985,-0.20715980536560985
alpha,ekw,nr,5000,-0.2024446089439973,-0.10122230447199865,-0.007971001107129706,2,-0.10122230447199865,-0.10122230447199865
alpha,ekw,optim,100,0.5952354315764072,0.2976177157882036,0.30628853520460053,2,0.2976177157882036,0.2976177157882036
alpha,ekw,optim,250,0.15802640593344153,0.07901320296672076,0.14855006362102366,2,0.07901320296672076,0.07901320296672076
alpha,ekw,optim,500,0.08011489094143442,0.04005744547071721,0.10952538466607993,2,0.04005744547071721,0.04005744547071721
alpha,ekw,optim,1000,0.04217758671121352,0.02108879335560676,0.08255638144493274,2,0.02108879335560676,0.02108879335560676
alpha,ekw,optim,5000,0.005246685963582465,0.0026233429817912324,0.023234595921835858,2,0.0026233429817912324,0.0026233429817912324
alpha,ekw,tmb,100,0.30887103809576866,0.15443551904788433,0.1936955142112779,2,0.15443551904788433,0.15443551904788433
alpha,ekw,tmb,250,0.12126235767551874,0.06063117883775937,0.12042415127499659,2,0.06063117883775937,0.06063117883775937
alpha,ekw,tmb,500,0.06301481635755302,0.03150740817877651,0.08834435449701131,2,0.03150740817877651,0.03150740817877651
alpha,ekw,tmb,1000,0.024684521894306588,0.012342260947153294,0.04899537169571796,2,0.012342260947153294,0.012342260947153294
alpha,ekw,tmb,5000,0.006730303399871129,0.0033651516999355646,0.02985935059089272,2,0.0033651516999355646,0.0033651516999355646
alpha,gkw,nlminb,100,-0.27456493584468,-0.13728246792234,-0.08020241424804411,2,-0.13728246792234,-0.13728246792234
alpha,gkw,nlminb,250,-0.364261571207507,-0.1821307856037535,-0.14288431301599971,2,-0.1821307856037535,-0.1821307856037535
alpha,gkw,nlminb,500,-0.37358146572438367,-0.18679073286219183,-0.176940933275836,2,-0.18679073286219183,-0.18679073286219183
